STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1405,"WELL AT UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,26,27.5,26.8,7.4,8,7.7,178,186,182,NA,NA,NA,0.6,1.2,0.9,NA,NA,NA,NA,NA,NA
1406,"WELL AROUND UDAIPUR (TUBEWELL), TRIPURA",TRIPURA,26.5,28,27.2,7.6,7.8,7.7,330,366,345,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1730,"KUNJBAN, AGARTALA, TRIPURA",TRIPURA,26.9,28.3,27.7,7.7,7.9,7.8,192,211,202,NA,NA,NA,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA
1731,"LANKAMURA, TRIPURA",TRIPURA,27.5,28,27.8,7.6,7.7,7.7,98,108,101,NA,NA,NA,0,0.1,0.1,NA,NA,NA,NA,NA,NA
1732,"A.D.NAGAR, AGARTALA, TRIPURA",TRIPURA,27,28,27.5,7.6,7.7,7.6,112,127,119,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1733,"SHIBNAGAR, AGARTALA, TRIPURA",TRIPURA,27.7,28,27.9,7.4,7.9,7.7,141,149,145,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
1734,"GANDHIGRAM, AGARTALA, TRIPURA",TRIPURA,27,27.3,27.2,7.4,7.7,7.5,174,216,194,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
